latitude,longitude,label,elevation
24.19467451,91.82931979,1,32.0
26.45768294829932,96.24714410685507,0,256.0
28.56945732394049,95.9006623183552,0,2832.0
22.1909,92.2135,1,16.0
27.91057723448362,90.95025134062148,0,4660.0
27.44,92.2833,1,2580.0
29.382470750237808,91.47603925407608,0,4719.0
25.2361973442934,91.90871264329324,0,781.0
21.61318693804851,89.54058297374841,0,0.0
22.47727775269811,89.64114305296246,0,2.0
26.3185,94.5247,1,1171.0
22.7176,92.8416,1,761.0
28.321759136386284,92.67764871431928,0,4088.0
27.05909317,93.54235868,1,495.0
26.9865,87.8982,1,1204.0
25.51826286,91.9630294,1,1611.0
22.256047580120757,88.43934498651326,0,3.0
25.70223725,94.04619681,1,1016.0
25.6237,94.1136,1,1610.0
24.5784,91.7227,1,13.0
25.31006064,94.48265093,1,1571.0
23.902578145690114,94.78161635123531,0,208.0
23.73354779,92.74744512,1,876.0
23.555760676506097,95.85558440980375,0,222.0
26.1807,94.5497,1,1658.0
22.84756674,91.95656252,1,83.0
29.12744270776085,96.07844512052031,0,3510.0
27.1071241,93.65156438,1,290.0
24.97812200535284,88.88205608388,0,17.0
25.57961649858377,88.90605840643396,0,33.0
24.901169551541877,88.83389677666632,0,16.0
24.164548979945057,91.0932788271401,0,7.0
27.0257,88.4301,1,307.0
25.48,94.1383,1,1721.0
24.5308,92.5121,1,67.0
22.62605612004706,97.14006494082813,0,1048.0
24.94840945925102,88.74022889801958,0,19.0
25.11531090960546,90.8109561508812,0,8.0
27.08783970249505,97.18665612461962,0,2190.0
24.6005,92.3814,1,70.0
26.64199718407469,88.06288984950103,0,122.0
24.4265,94.1913,1,1299.0
22.05979048901048,91.33294827627826,0,0.0
23.9278,94.0906,1,909.0
27.4888,93.0153,1,524.0
29.10031686754525,93.57588748915336,0,3976.0
25.57621034941172,97.47611478300256,0,170.0
25.2269,93.1658,1,396.0
22.65620215,93.61589869,1,1554.0
27.5799,91.8569,1,2758.0
27.348209714440976,92.02507258213777,0,4348.0
27.0736,88.4779,1,1176.0
25.5498,92.0757,1,1245.0
24.896,91.9022,1,21.0
23.30549709652028,95.47018604948116,0,160.0
22.6368,92.1453,1,30.0
25.1718,93.123,1,693.0
26.549288134837123,88.46368124766104,0,94.0
23.765971760643595,91.97016224395954,0,297.0
27.0524,90.4997,1,1540.0
24.1419,94.1078,1,1187.0
27.201,88.4883,1,379.0
24.808,93.117,1,38.0
26.350541209943703,95.21510141966408,0,716.0
27.668782509847908,95.86404704988452,0,146.0
26.88405686,88.28087032,1,1625.0
25.3179,94.0462,1,996.0
